Vehicle Type/Size, Vehicle Color, Vehicle Movement Direction, Vehicle Speed (km/h)
bus,blue,down,72.19243049621582
person,green,down,42.02548662821452
car,green,down,32.80161221822103
truck,black,down,20.64828872680664
car,green,down,47.27926254272461
boat,white,down,55.272086461385086
truck,black,down,13.678280512491863
truck,black,down,17.25131670633952
car,black,down,53.304433822631836
car,green,down,13.667615254720051
car,green,down,21.139065424601235
truck,green,down,30.557886759440102
car,green,down,11.502742767333984
car,green,down,13.793150583902996
truck,white,down,n.a.
boat,white,down,482.5291315714518
car,black,down,n.a.
bench,white,down,15.883890787760418
car,white,down,33.08118184407552
bicycle,white,down,14.818064371744793
person,black,down,n.a.
car,white,down,39.2425537109375
truck,green,down,n.a.
car,white,down,536.540444691976
bus,white,down,n.a.
car,yellow,down,469.08531188964844
car,red,down,n.a.
car,green,down,n.a.
truck,white,down,n.a.
car,white,down,35.30200322469076
car,black,down,28.84532610575358
car,black,down,52.798446019490555
car,blue,down,85.44619878133139
person,white,down,42.04909006754558
car,white,down,31.54503504435221
truck,white,down,n.a.
truck,white,down,n.a.
car,black,down,54.9036979675293
car,white,down,54.207658767700195
person,white,down,31.298160552978516
person,green,down,16.325537363688152
person,green,down,48.64354133605957
truck,green,down,2.5098772130460825
car,green,down,73.42828909556071
car,black,down,39.753174781799316
car,black,down,76.41727129618327
car,white,down,19.29624875386556
truck,white,down,63.61791292826335
car,white,down,22.52974510192871
car,white,down,46.50681813557942
truck,green,down,23.517697652180992
car,green,down,104.87794876098633
bus,green,down,60.23545265197754
car,blue,down,99.47818120320639
car,white,down,84.20867919921875
car,black,down,36.38339042663574
car,black,down,246.79423967997235
car,white,down,33.244832356770836
car,white,down,35.04131635030111
motorcycle,green,down,n.a.
car,black,down,48.54667981465657
bus,green,down,64.52078819274902
bus,black,down,38.6480967203776
car,green,down,44.987456003824875
person,white,down,28.025499979654946
car,white,down,36.6063117980957
